Tipo de residuo;Comunidades autónomas;periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2017;802.570
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2016;794.580
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2015;822.222
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2014;770.997
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2013;777.284
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2012;826.883
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2011;1.010.610
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Castilla - La Mancha;2010;968.613
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2018;2.216.496
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2017;2.350.780
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2016;2.276.881
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2015;2.283.180
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2014;2.402.829
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2013;2.495.715
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2012;2.334.367
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2011;2.570.746
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Cataluña;2010;2.441.711
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2018;2.050.369
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2017;2.014.008
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2016;1.855.269
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2015;1.865.704
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2014;1.843.503
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2013;1.798.999
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2012;1.811.419
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2011;1.805.042
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Comunitat Valenciana;2010;1.869.060
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2018;425.445
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2017;425.308
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2016;398.673
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2015;405.565
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2014;404.418
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2013;391.583
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2012;428.571
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2011;450.878
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Extremadura;2010;491.529
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2018;940.395
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2017;938.191
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2016;933.618
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2015;925.608
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2014;923.724
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2013;906.675
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2012;930.930
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2011;983.351
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Galicia;2010;1.002.349
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2018;1.996.857
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2017;2.159.053
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2016;2.017.961
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2015;1.929.269
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2014;1.977.666
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2013;1.897.284
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2012;1.947.739
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2011;2.062.422
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Madrid, Comunidad de;2010;2.108.673
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2018;639.712
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2017;640.121
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2016;613.940
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2015;589.409
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2014;596.188
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2013;606.321
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2012;579.368
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2011;577.721
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Murcia, Región de;2010;711.540
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2018;153.346
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2017;156.189
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2016;153.238
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2015;158.723
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2014;161.882
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2013;170.106
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2012;174.865
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2011;180.874
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Navarra, Comunidad Foral de;2010;185.635
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2018;609.079
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2017;550.836
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2016;640.017
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2015;659.754
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2014;564.187
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2013;779.441
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2012;769.912
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2011;680.888
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);País Vasco;2010;694.220
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2018;107.923
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2017;106.943
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2016;106.233
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2015;105.254
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2014;104.691
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2013;103.026
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2012;104.789
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2011;109.774
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Rioja, La;2010;111.409
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2018;673.495
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2017;814.281
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2016;910.708
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2015;647.373
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2014;643.136
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2013;532.122
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2012;403.637
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2011;481.780
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2010;586.598
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2018;153.300
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2017;380.959
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2016;361.986
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2015;255.581
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2014;252.293
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2013;181.998
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2012;99.589
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2011;152.281
