Tipo de residuo;Comunidades autónomas;periodo;Total
07.1 Residuos de vidrio;Madrid, Comunidad de;2014;78.005
07.1 Residuos de vidrio;Madrid, Comunidad de;2013;78.640
07.1 Residuos de vidrio;Madrid, Comunidad de;2012;80.620
07.1 Residuos de vidrio;Madrid, Comunidad de;2011;82.662
07.1 Residuos de vidrio;Madrid, Comunidad de;2010;82.497
07.1 Residuos de vidrio;Murcia, Región de;2018;26.263
07.1 Residuos de vidrio;Murcia, Región de;2017;24.809
07.1 Residuos de vidrio;Murcia, Región de;2016;24.485
07.1 Residuos de vidrio;Murcia, Región de;2015;23.450
07.1 Residuos de vidrio;Murcia, Región de;2014;21.991
07.1 Residuos de vidrio;Murcia, Región de;2013;22.132
07.1 Residuos de vidrio;Murcia, Región de;2012;22.590
07.1 Residuos de vidrio;Murcia, Región de;2011;18.755
07.1 Residuos de vidrio;Murcia, Región de;2010;74.000
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2018;16.777
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2017;16.179
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2016;15.959
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2015;15.871
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2014;16.697
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2013;15.521
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2012;15.684
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2011;16.190
07.1 Residuos de vidrio;Navarra, Comunidad Foral de;2010;16.168
07.1 Residuos de vidrio;País Vasco;2018;61.700
07.1 Residuos de vidrio;País Vasco;2017;59.903
07.1 Residuos de vidrio;País Vasco;2016;59.178
07.1 Residuos de vidrio;País Vasco;2015;58.948
07.1 Residuos de vidrio;País Vasco;2014;56.119
07.1 Residuos de vidrio;País Vasco;2013;54.402
07.1 Residuos de vidrio;País Vasco;2012;54.038
07.1 Residuos de vidrio;País Vasco;2011;54.202
07.1 Residuos de vidrio;País Vasco;2010;54.075
07.1 Residuos de vidrio;Rioja, La;2018;8.923
07.1 Residuos de vidrio;Rioja, La;2017;8.570
07.1 Residuos de vidrio;Rioja, La;2016;8.784
07.1 Residuos de vidrio;Rioja, La;2015;7.532
07.1 Residuos de vidrio;Rioja, La;2014;6.737
07.1 Residuos de vidrio;Rioja, La;2013;5.929
07.1 Residuos de vidrio;Rioja, La;2012;5.868
07.1 Residuos de vidrio;Rioja, La;2011;5.939
07.1 Residuos de vidrio;Rioja, La;2010;6.496
07.2 Residuos de papel y cartón;Total nacional;2018;1.067.384
07.2 Residuos de papel y cartón;Total nacional;2017;1.061.380
07.2 Residuos de papel y cartón;Total nacional;2016;1.021.166
07.2 Residuos de papel y cartón;Total nacional;2015;1.008.959
07.2 Residuos de papel y cartón;Total nacional;2014;976.896
07.2 Residuos de papel y cartón;Total nacional;2013;988.226
07.2 Residuos de papel y cartón;Total nacional;2012;1.085.574
07.2 Residuos de papel y cartón;Total nacional;2011;1.266.397
07.2 Residuos de papel y cartón;Total nacional;2010;1.467.365
07.2 Residuos de papel y cartón;Andalucía;2018;117.131
07.2 Residuos de papel y cartón;Andalucía;2017;102.877
07.2 Residuos de papel y cartón;Andalucía;2016;101.816
07.2 Residuos de papel y cartón;Andalucía;2015;100.815
07.2 Residuos de papel y cartón;Andalucía;2014;95.866
07.2 Residuos de papel y cartón;Andalucía;2013;100.864
07.2 Residuos de papel y cartón;Andalucía;2012;111.678
07.2 Residuos de papel y cartón;Andalucía;2011;118.200
07.2 Residuos de papel y cartón;Andalucía;2010;136.017
07.2 Residuos de papel y cartón;Aragón;2018;28.910
07.2 Residuos de papel y cartón;Aragón;2017;26.725
07.2 Residuos de papel y cartón;Aragón;2016;25.012
07.2 Residuos de papel y cartón;Aragón;2015;22.445
07.2 Residuos de papel y cartón;Aragón;2014;22.514
07.2 Residuos de papel y cartón;Aragón;2013;26.566
07.2 Residuos de papel y cartón;Aragón;2012;25.516
07.2 Residuos de papel y cartón;Aragón;2011;31.964
07.2 Residuos de papel y cartón;Aragón;2010;31.964
07.2 Residuos de papel y cartón;Asturias, Principado de;2018;41.766
07.2 Residuos de papel y cartón;Asturias, Principado de;2017;53.924
07.2 Residuos de papel y cartón;Asturias, Principado de;2016;62.374
07.2 Residuos de papel y cartón;Asturias, Principado de;2015;56.253
07.2 Residuos de papel y cartón;Asturias, Principado de;2014;49.754
07.2 Residuos de papel y cartón;Asturias, Principado de;2013;58.682
07.2 Residuos de papel y cartón;Asturias, Principado de;2012;55.682
07.2 Residuos de papel y cartón;Asturias, Principado de;2011;67.252
07.2 Residuos de papel y cartón;Asturias, Principado de;2010;93.158
07.2 Residuos de papel y cartón;Balears, Illes;2018;54.341
07.2 Residuos de papel y cartón;Balears, Illes;2017;45.630
07.2 Residuos de papel y cartón;Balears, Illes;2016;43.425
07.2 Residuos de papel y cartón;Balears, Illes;2015;40.223
07.2 Residuos de papel y cartón;Balears, Illes;2014;39.564
07.2 Residuos de papel y cartón;Balears, Illes;2013;38.238
07.2 Residuos de papel y cartón;Balears, Illes;2012;38.865
07.2 Residuos de papel y cartón;Balears, Illes;2011;25.162
07.2 Residuos de papel y cartón;Balears, Illes;2010;24.606
07.2 Residuos de papel y cartón;Canarias;2018;40.485
07.2 Residuos de papel y cartón;Canarias;2017;31.954
07.2 Residuos de papel y cartón;Canarias;2016;33.094
07.2 Residuos de papel y cartón;Canarias;2015;31.543
07.2 Residuos de papel y cartón;Canarias;2014;30.659
07.2 Residuos de papel y cartón;Canarias;2013;30.624
07.2 Residuos de papel y cartón;Canarias;2012;33.507
07.2 Residuos de papel y cartón;Canarias;2011;34.043
07.2 Residuos de papel y cartón;Canarias;2010;69.027
07.2 Residuos de papel y cartón;Cantabria;2018;10.381
07.2 Residuos de papel y cartón;Cantabria;2017;4.053
07.2 Residuos de papel y cartón;Cantabria;2016;5.050
07.2 Residuos de papel y cartón;Cantabria;2015;9.640
07.2 Residuos de papel y cartón;Cantabria;2014;9.878
07.2 Residuos de papel y cartón;Cantabria;2013;10.335
07.2 Residuos de papel y cartón;Cantabria;2012;12.048
07.2 Residuos de papel y cartón;Cantabria;2011;13.417
07.2 Residuos de papel y cartón;Cantabria;2010;13.826
07.2 Residuos de papel y cartón;Castilla y León;2018;43.700
07.2 Residuos de papel y cartón;Castilla y León;2017;45.179
07.2 Residuos de papel y cartón;Castilla y León;2016;44.676
07.2 Residuos de papel y cartón;Castilla y León;2015;43.442
07.2 Residuos de papel y cartón;Castilla y León;2014;43.432
07.2 Residuos de papel y cartón;Castilla y León;2013;45.036
07.2 Residuos de papel y cartón;Castilla y León;2012;49.338
07.2 Residuos de papel y cartón;Castilla y León;2011;55.753
07.2 Residuos de papel y cartón;Castilla y León;2010;56.725
07.2 Residuos de papel y cartón;Castilla - La Mancha;2018;28.067
07.2 Residuos de papel y cartón;Castilla - La Mancha;2017;31.374
07.2 Residuos de papel y cartón;Castilla - La Mancha;2016;26.665
07.2 Residuos de papel y cartón;Castilla - La Mancha;2015;24.356
07.2 Residuos de papel y cartón;Castilla - La Mancha;2014;26.218
07.2 Residuos de papel y cartón;Castilla - La Mancha;2013;26.351
07.2 Residuos de papel y cartón;Castilla - La Mancha;2012;28.472
07.2 Residuos de papel y cartón;Castilla - La Mancha;2011;30.697
07.2 Residuos de papel y cartón;Castilla - La Mancha;2010;36.202
07.2 Residuos de papel y cartón;Cataluña;2018;224.596
07.2 Residuos de papel y cartón;Cataluña;2017;296.067
07.2 Residuos de papel y cartón;Cataluña;2016;273.028
07.2 Residuos de papel y cartón;Cataluña;2015;298.134
07.2 Residuos de papel y cartón;Cataluña;2014;271.427
07.2 Residuos de papel y cartón;Cataluña;2013;262.428
07.2 Residuos de papel y cartón;Cataluña;2012;318.118
07.2 Residuos de papel y cartón;Cataluña;2011;408.518
07.2 Residuos de papel y cartón;Cataluña;2010;453.952
07.2 Residuos de papel y cartón;Comunitat Valenciana;2018;70.106
07.2 Residuos de papel y cartón;Comunitat Valenciana;2017;60.081
07.2 Residuos de papel y cartón;Comunitat Valenciana;2016;62.387
07.2 Residuos de papel y cartón;Comunitat Valenciana;2015;54.032
07.2 Residuos de papel y cartón;Comunitat Valenciana;2014;57.928
07.2 Residuos de papel y cartón;Comunitat Valenciana;2013;54.032
07.2 Residuos de papel y cartón;Comunitat Valenciana;2012;60.294
07.2 Residuos de papel y cartón;Comunitat Valenciana;2011;66.658
07.2 Residuos de papel y cartón;Comunitat Valenciana;2010;75.158
07.2 Residuos de papel y cartón;Extremadura;2018;36.522
07.2 Residuos de papel y cartón;Extremadura;2017;31.576
07.2 Residuos de papel y cartón;Extremadura;2016;34.629
07.2 Residuos de papel y cartón;Extremadura;2015;40.151
07.2 Residuos de papel y cartón;Extremadura;2014;39.097
07.2 Residuos de papel y cartón;Extremadura;2013;34.437
07.2 Residuos de papel y cartón;Extremadura;2012;32.580
07.2 Residuos de papel y cartón;Extremadura;2011;16.286
07.2 Residuos de papel y cartón;Extremadura;2010;32.753
07.2 Residuos de papel y cartón;Galicia;2018;37.457
07.2 Residuos de papel y cartón;Galicia;2017;33.262
07.2 Residuos de papel y cartón;Galicia;2016;34.402
07.2 Residuos de papel y cartón;Galicia;2015;32.591
07.2 Residuos de papel y cartón;Galicia;2014;31.674
07.2 Residuos de papel y cartón;Galicia;2013;31.619
07.2 Residuos de papel y cartón;Galicia;2012;34.556
07.2 Residuos de papel y cartón;Galicia;2011;38.163
07.2 Residuos de papel y cartón;Galicia;2010;46.567
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2018;121.390
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2017;99.641
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2016;88.078
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2015;86.451
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2014;89.463
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2013;94.388
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2012;114.410
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2011;136.194
07.2 Residuos de papel y cartón;Madrid, Comunidad de;2010;160.181
07.2 Residuos de papel y cartón;Murcia, Región de;2018;20.879
07.2 Residuos de papel y cartón;Murcia, Región de;2017;18.764
07.2 Residuos de papel y cartón;Murcia, Región de;2016;17.864
07.2 Residuos de papel y cartón;Murcia, Región de;2015;13.814
07.2 Residuos de papel y cartón;Murcia, Región de;2014;12.864
07.2 Residuos de papel y cartón;Murcia, Región de;2013;7.474
07.2 Residuos de papel y cartón;Murcia, Región de;2012;8.430
07.2 Residuos de papel y cartón;Murcia, Región de;2011;18.849
07.2 Residuos de papel y cartón;Murcia, Región de;2010;22.561
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2018;27.931
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2017;26.211
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2016;26.684
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2015;26.057
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2014;22.981
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2013;24.427
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2012;24.427
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2011;25.905
07.2 Residuos de papel y cartón;Navarra, Comunidad Foral de;2010;30.090
07.2 Residuos de papel y cartón;País Vasco;2018;147.679
07.2 Residuos de papel y cartón;País Vasco;2017;139.386
07.2 Residuos de papel y cartón;País Vasco;2016;128.576
07.2 Residuos de papel y cartón;País Vasco;2015;117.879
07.2 Residuos de papel y cartón;País Vasco;2014;122.104
07.2 Residuos de papel y cartón;País Vasco;2013;130.614
07.2 Residuos de papel y cartón;País Vasco;2012;124.278
07.2 Residuos de papel y cartón;País Vasco;2011;165.214
07.2 Residuos de papel y cartón;País Vasco;2010;169.542
07.2 Residuos de papel y cartón;Rioja, La;2018;8.150
07.2 Residuos de papel y cartón;Rioja, La;2017;7.971
07.2 Residuos de papel y cartón;Rioja, La;2016;7.991
07.2 Residuos de papel y cartón;Rioja, La;2015;7.605
07.2 Residuos de papel y cartón;Rioja, La;2014;7.409
07.2 Residuos de papel y cartón;Rioja, La;2013;7.537
07.2 Residuos de papel y cartón;Rioja, La;2012;7.919
07.2 Residuos de papel y cartón;Rioja, La;2011;8.584
07.2 Residuos de papel y cartón;Rioja, La;2010;9.187
07.4 Residuos de plásticos;Total nacional;2018;24.050
07.4 Residuos de plásticos;Total nacional;2017;24.571
07.4 Residuos de plásticos;Total nacional;2016;25.119
07.4 Residuos de plásticos;Total nacional;2015;39.453
07.4 Residuos de plásticos;Total nacional;2014;39.807
07.4 Residuos de plásticos;Total nacional;2013;21.577
07.4 Residuos de plásticos;Total nacional;2012;107.524
07.4 Residuos de plásticos;Total nacional;2011;104.681
07.4 Residuos de plásticos;Total nacional;2010;185.501
07.4 Residuos de plásticos;Andalucía;2018;1.677
07.4 Residuos de plásticos;Andalucía;2017;1.421
07.4 Residuos de plásticos;Andalucía;2016;727
07.4 Residuos de plásticos;Andalucía;2015;2.363
07.4 Residuos de plásticos;Andalucía;2014;2.361
07.4 Residuos de plásticos;Andalucía;2013;809
07.4 Residuos de plásticos;Andalucía;2012;10.852
07.4 Residuos de plásticos;Andalucía;2011;13.063
07.4 Residuos de plásticos;Andalucía;2010;28.898
07.4 Residuos de plásticos;Aragón;2018;251
07.4 Residuos de plásticos;Aragón;2017;0
07.4 Residuos de plásticos;Aragón;2016;43
07.4 Residuos de plásticos;Aragón;2015;13
07.4 Residuos de plásticos;Aragón;2014;13
07.4 Residuos de plásticos;Aragón;2013;0
07.4 Residuos de plásticos;Aragón;2012;1.733
07.4 Residuos de plásticos;Aragón;2011;1.601
07.4 Residuos de plásticos;Aragón;2010;5.668
07.4 Residuos de plásticos;Asturias, Principado de;2018;943
07.4 Residuos de plásticos;Asturias, Principado de;2017;537
07.4 Residuos de plásticos;Asturias, Principado de;2016;473
07.4 Residuos de plásticos;Asturias, Principado de;2015;953
07.4 Residuos de plásticos;Asturias, Principado de;2014;962
07.4 Residuos de plásticos;Asturias, Principado de;2013;679
07.4 Residuos de plásticos;Asturias, Principado de;2012;864
07.4 Residuos de plásticos;Asturias, Principado de;2011;69
07.4 Residuos de plásticos;Asturias, Principado de;2010;339
07.4 Residuos de plásticos;Balears, Illes;2018;407
07.4 Residuos de plásticos;Balears, Illes;2017;3
07.4 Residuos de plásticos;Balears, Illes;2016;21
07.4 Residuos de plásticos;Balears, Illes;2015;359
07.4 Residuos de plásticos;Balears, Illes;2014;362
07.4 Residuos de plásticos;Balears, Illes;2013;0
07.4 Residuos de plásticos;Balears, Illes;2012;4.038
07.4 Residuos de plásticos;Balears, Illes;2011;1.935
07.4 Residuos de plásticos;Balears, Illes;2010;2.245
07.4 Residuos de plásticos;Canarias;2018;5
07.4 Residuos de plásticos;Canarias;2017;76
07.4 Residuos de plásticos;Canarias;2016;4.549
07.4 Residuos de plásticos;Canarias;2015;31
07.4 Residuos de plásticos;Canarias;2014;31
07.4 Residuos de plásticos;Canarias;2013;1
07.4 Residuos de plásticos;Canarias;2012;6.497
07.4 Residuos de plásticos;Canarias;2011;6.878
07.4 Residuos de plásticos;Canarias;2010;7.952
07.4 Residuos de plásticos;Cantabria;2018;0
07.4 Residuos de plásticos;Cantabria;2017;0
07.4 Residuos de plásticos;Cantabria;2016;0
07.4 Residuos de plásticos;Cantabria;2015;0
07.4 Residuos de plásticos;Cantabria;2014;0
07.4 Residuos de plásticos;Cantabria;2013;0
07.4 Residuos de plásticos;Cantabria;2012;2.146
07.4 Residuos de plásticos;Cantabria;2011;4.530
07.4 Residuos de plásticos;Cantabria;2010;2.804
07.4 Residuos de plásticos;Castilla y León;2018;940
07.4 Residuos de plásticos;Castilla y León;2017;447
07.4 Residuos de plásticos;Castilla y León;2016;858
07.4 Residuos de plásticos;Castilla y León;2015;322
07.4 Residuos de plásticos;Castilla y León;2014;325
07.4 Residuos de plásticos;Castilla y León;2013;175
07.4 Residuos de plásticos;Castilla y León;2012;8.357
07.4 Residuos de plásticos;Castilla y León;2011;7.349
07.4 Residuos de plásticos;Castilla y León;2010;7.868
07.4 Residuos de plásticos;Castilla - La Mancha;2018;12.199
07.4 Residuos de plásticos;Castilla - La Mancha;2017;11.519
07.4 Residuos de plásticos;Castilla - La Mancha;2016;9.947
07.4 Residuos de plásticos;Castilla - La Mancha;2015;307
07.4 Residuos de plásticos;Castilla - La Mancha;2014;309
07.4 Residuos de plásticos;Castilla - La Mancha;2013;0
07.4 Residuos de plásticos;Castilla - La Mancha;2012;4.911
07.4 Residuos de plásticos;Castilla - La Mancha;2011;9.971
07.4 Residuos de plásticos;Castilla - La Mancha;2010;8.860
07.4 Residuos de plásticos;Cataluña;2018;2.086
07.4 Residuos de plásticos;Cataluña;2017;2.175
07.4 Residuos de plásticos;Cataluña;2016;910
07.4 Residuos de plásticos;Cataluña;2015;2.964
07.4 Residuos de plásticos;Cataluña;2014;2.993
07.4 Residuos de plásticos;Cataluña;2013;1.975
07.4 Residuos de plásticos;Cataluña;2012;37.467
07.4 Residuos de plásticos;Cataluña;2011;19.847
07.4 Residuos de plásticos;Cataluña;2010;30.305
07.4 Residuos de plásticos;Comunitat Valenciana;2018;1.761
07.4 Residuos de plásticos;Comunitat Valenciana;2017;481
07.4 Residuos de plásticos;Comunitat Valenciana;2016;639
07.4 Residuos de plásticos;Comunitat Valenciana;2015;1.889
07.4 Residuos de plásticos;Comunitat Valenciana;2014;1.907
07.4 Residuos de plásticos;Comunitat Valenciana;2013;1.687
07.4 Residuos de plásticos;Comunitat Valenciana;2012;6.270
07.4 Residuos de plásticos;Comunitat Valenciana;2011;16.978
07.4 Residuos de plásticos;Comunitat Valenciana;2010;26.006
07.4 Residuos de plásticos;Extremadura;2018;0
07.4 Residuos de plásticos;Extremadura;2017;0
07.4 Residuos de plásticos;Extremadura;2016;4
07.4 Residuos de plásticos;Extremadura;2015;13
07.4 Residuos de plásticos;Extremadura;2014;13
07.4 Residuos de plásticos;Extremadura;2013;2
07.4 Residuos de plásticos;Extremadura;2012;1.074
07.4 Residuos de plásticos;Extremadura;2011;646
07.4 Residuos de plásticos;Extremadura;2010;4.416
07.4 Residuos de plásticos;Galicia;2018;813
07.4 Residuos de plásticos;Galicia;2017;1.324
07.4 Residuos de plásticos;Galicia;2016;1.100
07.4 Residuos de plásticos;Galicia;2015;26.702
07.4 Residuos de plásticos;Galicia;2014;26.958
07.4 Residuos de plásticos;Galicia;2013;10.384
07.4 Residuos de plásticos;Galicia;2012;4.281
07.4 Residuos de plásticos;Galicia;2011;2.152
07.4 Residuos de plásticos;Galicia;2010;7.219
07.4 Residuos de plásticos;Madrid, Comunidad de;2018;465
07.4 Residuos de plásticos;Madrid, Comunidad de;2017;2.879
07.4 Residuos de plásticos;Madrid, Comunidad de;2016;480
07.4 Residuos de plásticos;Madrid, Comunidad de;2015;372
07.4 Residuos de plásticos;Madrid, Comunidad de;2014;376
07.4 Residuos de plásticos;Madrid, Comunidad de;2013;3.143
07.4 Residuos de plásticos;Madrid, Comunidad de;2012;3.630
07.4 Residuos de plásticos;Madrid, Comunidad de;2011;10.171
07.4 Residuos de plásticos;Madrid, Comunidad de;2010;38.083
07.4 Residuos de plásticos;Murcia, Región de;2018;133
07.4 Residuos de plásticos;Murcia, Región de;2017;694
07.4 Residuos de plásticos;Murcia, Región de;2016;1.512
07.4 Residuos de plásticos;Murcia, Región de;2015;170
07.4 Residuos de plásticos;Murcia, Región de;2014;172
07.4 Residuos de plásticos;Murcia, Región de;2013;106
07.4 Residuos de plásticos;Murcia, Región de;2012;1.512
07.4 Residuos de plásticos;Murcia, Región de;2011;2.281
07.4 Residuos de plásticos;Murcia, Región de;2010;4.404
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2018;114
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2017;648
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2016;641
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2015;1.589
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2014;1.604
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2013;1.551
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2012;8.484
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2011;1.043
07.4 Residuos de plásticos;Navarra, Comunidad Foral de;2010;2.512
07.4 Residuos de plásticos;País Vasco;2018;2.255
07.4 Residuos de plásticos;País Vasco;2017;2.325
07.4 Residuos de plásticos;País Vasco;2016;3.207
07.4 Residuos de plásticos;País Vasco;2015;1.398
07.4 Residuos de plásticos;País Vasco;2014;1.411
07.4 Residuos de plásticos;País Vasco;2013;1.062
07.4 Residuos de plásticos;País Vasco;2012;5.118
07.4 Residuos de plásticos;País Vasco;2011;6.164
07.4 Residuos de plásticos;País Vasco;2010;7.922
07.4 Residuos de plásticos;Rioja, La;2018;1
07.4 Residuos de plásticos;Rioja, La;2017;43
07.4 Residuos de plásticos;Rioja, La;2016;7
07.4 Residuos de plásticos;Rioja, La;2015;9
07.4 Residuos de plásticos;Rioja, La;2014;9
07.4 Residuos de plásticos;Rioja, La;2013;2
07.4 Residuos de plásticos;Rioja, La;2012;9
07.4 Residuos de plásticos;Rioja, La;2011;0
07.4 Residuos de plásticos;Rioja, La;2010;0
07.5 Residuos de Madera;Total nacional;2018;136.153
07.5 Residuos de Madera;Total nacional;2017;189.733
07.5 Residuos de Madera;Total nacional;2016;95.081
07.5 Residuos de Madera;Total nacional;2015;87.765
07.5 Residuos de Madera;Total nacional;2014;88.498
07.5 Residuos de Madera;Total nacional;2013;105.646
07.5 Residuos de Madera;Total nacional;2012;130.509
07.5 Residuos de Madera;Total nacional;2011;127.522
07.5 Residuos de Madera;Total nacional;2010;192.052
07.5 Residuos de Madera;Andalucía;2018;12.520
07.5 Residuos de Madera;Andalucía;2017;13.969
07.5 Residuos de Madera;Andalucía;2016;8.619
07.5 Residuos de Madera;Andalucía;2015;10.079
07.5 Residuos de Madera;Andalucía;2014;10.070
07.5 Residuos de Madera;Andalucía;2013;12.611
07.5 Residuos de Madera;Andalucía;2012;16.997
07.5 Residuos de Madera;Andalucía;2011;9.155
07.5 Residuos de Madera;Andalucía;2010;13.528
07.5 Residuos de Madera;Aragón;2018;3.276
07.5 Residuos de Madera;Aragón;2017;4.645
07.5 Residuos de Madera;Aragón;2016;1.230
07.5 Residuos de Madera;Aragón;2015;679
07.5 Residuos de Madera;Aragón;2014;682
07.5 Residuos de Madera;Aragón;2013;880
07.5 Residuos de Madera;Aragón;2012;10.755
07.5 Residuos de Madera;Aragón;2011;10.016
07.5 Residuos de Madera;Aragón;2010;3.374
07.5 Residuos de Madera;Asturias, Principado de;2018;3.534
07.5 Residuos de Madera;Asturias, Principado de;2017;3.176
07.5 Residuos de Madera;Asturias, Principado de;2016;4.004
07.5 Residuos de Madera;Asturias, Principado de;2015;3.561
07.5 Residuos de Madera;Asturias, Principado de;2014;3.595
07.5 Residuos de Madera;Asturias, Principado de;2013;1.942
07.5 Residuos de Madera;Asturias, Principado de;2012;1.826
07.5 Residuos de Madera;Asturias, Principado de;2011;61
07.5 Residuos de Madera;Asturias, Principado de;2010;56
07.5 Residuos de Madera;Balears, Illes;2018;2.752
07.5 Residuos de Madera;Balears, Illes;2017;4.993
07.5 Residuos de Madera;Balears, Illes;2016;307
07.5 Residuos de Madera;Balears, Illes;2015;140
07.5 Residuos de Madera;Balears, Illes;2014;142
07.5 Residuos de Madera;Balears, Illes;2013;63
07.5 Residuos de Madera;Balears, Illes;2012;2.596
07.5 Residuos de Madera;Balears, Illes;2011;2.387
07.5 Residuos de Madera;Balears, Illes;2010;129
07.5 Residuos de Madera;Canarias;2018;1.649
07.5 Residuos de Madera;Canarias;2017;1.606
07.5 Residuos de Madera;Canarias;2016;774
07.5 Residuos de Madera;Canarias;2015;675
07.5 Residuos de Madera;Canarias;2014;681
07.5 Residuos de Madera;Canarias;2013;718
07.5 Residuos de Madera;Canarias;2012;3.484
07.5 Residuos de Madera;Canarias;2011;4.734
07.5 Residuos de Madera;Canarias;2010;2.601
07.5 Residuos de Madera;Cantabria;2018;1.813
07.5 Residuos de Madera;Cantabria;2017;1.958
07.5 Residuos de Madera;Cantabria;2016;1.536
07.5 Residuos de Madera;Cantabria;2015;0
07.5 Residuos de Madera;Cantabria;2014;0
07.5 Residuos de Madera;Cantabria;2013;0
07.5 Residuos de Madera;Cantabria;2012;1.275
07.5 Residuos de Madera;Cantabria;2011;4.083
07.5 Residuos de Madera;Cantabria;2010;3.883
07.5 Residuos de Madera;Castilla y León;2018;2.941
07.5 Residuos de Madera;Castilla y León;2017;3.014
07.5 Residuos de Madera;Castilla y León;2016;1.263
07.5 Residuos de Madera;Castilla y León;2015;1.613
07.5 Residuos de Madera;Castilla y León;2014;1.629
07.5 Residuos de Madera;Castilla y León;2013;891
07.5 Residuos de Madera;Castilla y León;2012;764
07.5 Residuos de Madera;Castilla y León;2011;297
07.5 Residuos de Madera;Castilla y León;2010;2.052
07.5 Residuos de Madera;Castilla - La Mancha;2018;5.579
07.5 Residuos de Madera;Castilla - La Mancha;2017;6.475
07.5 Residuos de Madera;Castilla - La Mancha;2016;4.535
07.5 Residuos de Madera;Castilla - La Mancha;2015;1.387
07.5 Residuos de Madera;Castilla - La Mancha;2014;1.400
07.5 Residuos de Madera;Castilla - La Mancha;2013;6.615
07.5 Residuos de Madera;Castilla - La Mancha;2012;783
07.5 Residuos de Madera;Castilla - La Mancha;2011;4.217
07.5 Residuos de Madera;Castilla - La Mancha;2010;1.113
07.5 Residuos de Madera;Cataluña;2018;20.624
07.5 Residuos de Madera;Cataluña;2017;71.541
07.5 Residuos de Madera;Cataluña;2016;20.015
07.5 Residuos de Madera;Cataluña;2015;35.209
07.5 Residuos de Madera;Cataluña;2014;35.547
07.5 Residuos de Madera;Cataluña;2013;14.566
07.5 Residuos de Madera;Cataluña;2012;44.513
07.5 Residuos de Madera;Cataluña;2011;30.885
07.5 Residuos de Madera;Cataluña;2010;114.476
07.5 Residuos de Madera;Comunitat Valenciana;2018;17.433
07.5 Residuos de Madera;Comunitat Valenciana;2017;17.071
07.5 Residuos de Madera;Comunitat Valenciana;2016;5.201
07.5 Residuos de Madera;Comunitat Valenciana;2015;2.810
07.5 Residuos de Madera;Comunitat Valenciana;2014;2.837
07.5 Residuos de Madera;Comunitat Valenciana;2013;11.331
07.5 Residuos de Madera;Comunitat Valenciana;2012;6.967
07.5 Residuos de Madera;Comunitat Valenciana;2011;5.800
07.5 Residuos de Madera;Comunitat Valenciana;2010;9.244
07.5 Residuos de Madera;Extremadura;2018;304
07.5 Residuos de Madera;Extremadura;2017;221
07.5 Residuos de Madera;Extremadura;2016;231
07.5 Residuos de Madera;Extremadura;2015;0
07.5 Residuos de Madera;Extremadura;2014;0
07.5 Residuos de Madera;Extremadura;2013;151
07.5 Residuos de Madera;Extremadura;2012;144
07.5 Residuos de Madera;Extremadura;2011;2.033
07.5 Residuos de Madera;Extremadura;2010;0
07.5 Residuos de Madera;Galicia;2018;7.195
07.5 Residuos de Madera;Galicia;2017;4.590
07.5 Residuos de Madera;Galicia;2016;2.150
07.5 Residuos de Madera;Galicia;2015;11.267
07.5 Residuos de Madera;Galicia;2014;11.375
07.5 Residuos de Madera;Galicia;2013;5.235
07.5 Residuos de Madera;Galicia;2012;4.289
07.5 Residuos de Madera;Galicia;2011;4.956
07.5 Residuos de Madera;Galicia;2010;6.561
07.5 Residuos de Madera;Madrid, Comunidad de;2018;12.049
07.5 Residuos de Madera;Madrid, Comunidad de;2017;12.263
